Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier	Subscription	Period	Category	CMB	Device	Supported Platforms	Proceeds Reason	Preserved Pricing	Client	Order Type
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	1F	1	0.00	03/29/2026	03/29/2026	IDR	ID	 	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	1F	1	0.00	03/29/2026	03/29/2026	CNY	CN	 	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F3	1	0.00	03/29/2026	03/29/2026	AUD	AU	AUD	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	1F	3	0.00	03/29/2026	03/29/2026	USD	US	 	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	2	0.00	03/29/2026	03/29/2026	EUR	DE	EUR	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	0.00	03/29/2026	03/29/2026	TRY	TR	 	6758960270	0.00	 	 	 	 	Developer Tools		iPad	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F1	1	0.00	03/29/2026	03/29/2026	RUB	RU	 	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F7	1	0.00	03/29/2026	03/29/2026	AUD	AU	AUD	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	4	0.00	03/29/2026	03/29/2026	AUD	AU	AUD	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	1F	41	0.00	03/29/2026	03/29/2026	USD	US	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	AUD	AU	AUD	6757763969	0.00	 	 	 	 	Health & Fitness		iPad	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	7F	5	0.00	03/29/2026	03/29/2026	USD	US	USD	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	EUR	NL	EUR	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	USD	AM	USD	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F7	3	0.00	03/29/2026	03/29/2026	CHF	CH	CHF	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	6	0.00	03/29/2026	03/29/2026	USD	US	USD	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	2	0.00	03/29/2026	03/29/2026	EUR	DE	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	10	0.00	03/29/2026	03/29/2026	USD	US	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	1F	10	0.00	03/29/2026	03/29/2026	USD	US	 	6758960270	0.00	 	 	 	 	Developer Tools		Desktop	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	4200.00	03/29/2026	03/29/2026	KRW	KR	KRW	6758960270	6600.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	com.codybontecou.obsidianhealth.unlock	 	Unlock Full Access	1.7.4	IA1	1	5.88	03/29/2026	03/29/2026	EUR	DE	EUR	6761057963	9.99	 	obsidianhealth001	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	1F	1	0.00	03/29/2026	03/29/2026	CAD	CA	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	VOXBOARD001	Cody Russell Bontecou	Voxboard	1.2	7F	1	0.00	03/29/2026	03/29/2026	COP	CO	COP	6758967337	0.00	 	 	 	 	Productivity		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F7	1	0.00	03/29/2026	03/29/2026	USD	US	USD	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	1F	1	0.00	03/29/2026	03/29/2026	CLP	CL	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	VND	VN	VND	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	1F	1	0.00	03/29/2026	03/29/2026	CAD	CA	 	6758960270	0.00	 	 	 	 	Developer Tools		iPad	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F3	1	0.00	03/29/2026	03/29/2026	EUR	DE	EUR	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	0.00	03/29/2026	03/29/2026	EUR	NL	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	7F	1	0.00	03/29/2026	03/29/2026	USD	US	USD	6758960270	0.00	 	 	 	 	Developer Tools		iPad	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	7F	1	0.00	03/29/2026	03/29/2026	KZT	KZ	KZT	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	4	0.00	03/29/2026	03/29/2026	USD	US	 	6758960270	0.00	 	 	 	 	Developer Tools		Desktop	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	0.00	03/29/2026	03/29/2026	EUR	HR	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.5	1F	-1	74.63	03/29/2026	03/29/2026	CZK	CZ	CZK	6758960270	-129.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	SGD	SG	SGD	6757763969	0.00	 	 	 	 	Health & Fitness		iPad	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	THB	TH	THB	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	7F	1	0.00	03/29/2026	03/29/2026	EUR	ES	EUR	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	3	0.00	03/29/2026	03/29/2026	CNY	CN	CNY	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	0.00	03/29/2026	03/29/2026	EUR	FR	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	1F	9	0.00	03/29/2026	03/29/2026	USD	US	 	6758960270	0.00	 	 	 	 	Developer Tools		iPad	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	EUR	FR	EUR	6757763969	0.00	 	 	 	 	Health & Fitness		iPad	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	F7	1	0.00	03/29/2026	03/29/2026	EUR	DE	EUR	6757763969	0.00	 	 	 	 	Health & Fitness		iPad	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	0.00	03/29/2026	03/29/2026	EUR	RS	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	3F	1	0.00	03/29/2026	03/29/2026	USD	US	USD	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F3	1	0.00	03/29/2026	03/29/2026	EUR	BE	EUR	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	3F	2	0.00	03/29/2026	03/29/2026	USD	US	USD	6758960270	0.00	 	 	 	 	Developer Tools		Desktop	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.4	F1	1	0.00	03/29/2026	03/29/2026	EUR	DE	 	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	0.00	03/29/2026	03/29/2026	USD	US	 	6758960270	0.00	 	 	 	 	Developer Tools		iPad	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	1F	1	0.00	03/29/2026	03/29/2026	BRL	BR	 	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	3F	1	0.00	03/29/2026	03/29/2026	USD	US	USD	6757763969	0.00	 	 	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
APPLE	US	obsidianhealth001	Cody Russell Bontecou	Health.md	1.7.6	1F	1	0.00	03/29/2026	03/29/2026	USD	US	 	6757763969	0.00	 	 	 	 	Health & Fitness		Desktop	iOS and macOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.6	3F	1	0.00	03/29/2026	03/29/2026	KRW	KR	KRW	6758960270	0.00	 	 	 	 	Developer Tools		iPad	iOS	 	 	 	 
APPLE	US	VOXBOARD001	Cody Russell Bontecou	Voxboard	1.2	1F	1	0.00	03/29/2026	03/29/2026	USD	US	 	6758967337	0.00	 	 	 	 	Productivity		iPhone	iOS	 	 	 	 
APPLE	US	bontecou.Sync-md	Cody Russell Bontecou	Sync.md	1.7	3F	1	0.00	03/29/2026	03/29/2026	USD	US	USD	6758960270	0.00	 	 	 	 	Developer Tools		iPhone	iOS	 	 	 	 
APPLE	US	com.codybontecou.obsidianhealth.unlock	 	Unlock Full Access	1.7.6	IA1	1	7.00	03/29/2026	03/29/2026	USD	US	USD	6761057963	9.99	 	obsidianhealth001	 	 	Health & Fitness		iPhone	iOS and macOS	 	 	 	 
